Lead_ID,Lead_Name,Email,Phone_Number,Lead_Source,Lead_Stage,Date_of_Inquiry,Campaign_ID
bd665a18-e267-5d9a-3621-ff2c1ea6e242,Melesa Bearblock,melesa.bearblock@hotmail.com,(559) 521-8633,Inbound Marketing,Qualified,2023-11-14T03:28:22+00:00,5006
ae746dea-4dc1-e715-e8da-c62140d72406,Sari Kubat,sari.kubat@aol.com,(702) 880-8088,SEO,Closed Won,2024-06-02T13:20:11+00:00,5006
aa75598b-5d56-2ffe-ca27-a29d1ad27555,Martie Rockwell,martie.rockwell@yahoo.com,(817) 350-8758,Inbound Marketing,Closed Won,2024-09-01T10:09:27+00:00,5060
b823d3d6-76a1-9b16-4b6a-a81410cdd77d,Shelley Wehnerr,shelley.wehnerr@hotmail.com,(386) 691-8629,Direct Mail,Closed Won,2024-01-18T16:53:19+00:00,5085
d9b26e88-52b2-782a-32c6-66b00e4065c8,Mikey Chapman,mikey.chapman@libero.it,(404) 665-1309,Email Campaign,Negotiation,2024-03-26T12:36:28+00:00,5024
20f38d65-38d5-db8e-016a-8eba29bc15b2,Sarene Osborn,sarene.osborn@hotmail.com,(412) 295-2258,Partner,Contacted,2024-02-16T01:12:57+00:00,5042
2bf6ec85-0e08-7ef6-8ae7-c864d6a07ffd,Dene Burfield,dene.burfield@hotmail.com,(512) 045-7148,Networking Event,Proposal Sent,2024-07-25T06:23:02+00:00,5031
f0bc372e-847b-6221-5278-374e44c5fc31,Ingelbert Badham,ingelbert.badham@gmail.com,(775) 741-2426,SEO,Closed Lost,2024-08-17T10:43:25+00:00,5075
54b44a73-0efc-3191-a94e-2c1f647cf75e,Pamelina Banstead,pamelina.banstead@web.de,(303) 490-7001,Trade Show,Closed Won,2024-07-24T01:03:00+00:00,5081
d6cbbad7-d31b-1425-6b50-9df9724257db,Calley Poyle,calley.poyle@tiscali.co.uk,(601) 108-7674,Referral,Qualified,2024-06-04T19:20:51+00:00,5074
12904540-893c-981e-99b3-b54de0d53ae4,Melisande Kamena,melisande.kamena@cox.net,(801) 571-0580,Email Campaign,Contacted,2023-12-20T06:57:13+00:00,5061
b3e32f29-a80c-a561-ccdc-afe1447f3330,Odele Le Fevre,odele.le fevre@msn.com,(361) 569-9456,Networking Event,Contacted,2024-05-11T04:26:02+00:00,5016
8d66308c-1874-d011-e6dc-a096ae1aea0d,Ann-marie Lunck,ann-marie.lunck@hotmail.fr,(515) 487-2222,Webinar,Closed Lost,2024-09-22T18:37:40+00:00,5054
dc6c1e9e-b55f-aa77-d5e5-4113f8f044e1,Lanie Pretious,lanie.pretious@gmail.com,(386) 086-8795,SEO,New,2024-08-18T14:56:47+00:00,5091
d742e9e2-13e6-4949-edec-4cae4d765436,Stacee Christauffour,stacee.christauffour@live.co.uk,(303) 188-2275,Content Marketing,Closed Won,2024-02-29T17:11:59+00:00,5081
4756ff37-a363-840a-41e2-63b578a8d36d,Barth Barsham,barth.barsham@hotmail.com,(571) 135-9571,Partner,Negotiation,2023-12-20T22:55:55+00:00,5035
d829af70-e908-21b3-8518-1d0670d08d20,Rachele Macauley,rachele.macauley@gmail.com,(480) 106-0209,Inbound Marketing,Negotiation,2024-09-25T06:13:11+00:00,5024
d4b139dd-c77c-b8e8-d56f-7e21fad701e6,Antonino Wankling,antonino.wankling@gmail.com,(469) 370-8928,Networking Event,Closed Won,2023-11-07T10:33:15+00:00,5016
c7a8b91c-89fc-0802-c836-b0d6685ed406,Piper Kenway,piper.kenway@mail.ru,(216) 164-6693,Paid Advertising,Closed Lost,2024-08-22T11:52:28+00:00,5091
0febafa7-61f9-3698-34c0-8e8354649d98,Dee dee De Dantesie,dee dee.de dantesie@hotmail.com,(402) 006-5440,Referral,Qualified,2024-07-01T14:58:37+00:00,5004
fda4836b-d8ba-96c1-1e90-38d31d280f97,Harvey Kemsley,harvey.kemsley@yahoo.com,(267) 175-0928,Social Media,Contacted,2024-05-22T18:56:30+00:00,5082
e3fdb242-75cb-1918-a1ff-eb561612c620,Em Wilkes,em.wilkes@ymail.com,(832) 974-3270,Direct Mail,New,2024-07-23T19:10:16+00:00,5068
58c99dc2-b5fd-29e9-83d4-c8c62b44502a,Sarita Archibold,sarita.archibold@aim.com,(317) 025-8639,Social Media,Negotiation,2024-09-04T11:00:48+00:00,5057
81ce6605-1379-03b2-9ec9-9452d6cbe607,Dannie Earlam,dannie.earlam@yahoo.com,(202) 229-9670,Webinar,New,2024-03-18T08:20:59+00:00,5074
e6073a81-e607-517c-c20b-5158fe53eab0,Lucilia Simioni,lucilia.simioni@alice.it,(916) 853-0830,Cold Call,New,2024-01-06T20:20:09+00:00,5086
5f91984e-e0e2-92a2-7fac-e0994e8ae8fd,Fifine Croose,fifine.croose@yahoo.com.br,(917) 365-3430,Cold Call,Qualified,2023-12-03T18:44:59+00:00,5040
ae8bacb2-ae1f-f546-f647-8811442a162f,Loren Petracek,loren.petracek@gmail.com,(213) 719-6222,Webinar,Qualified,2023-10-25T11:16:32+00:00,5020
8947220d-85f5-2c72-36cf-e31c7e35e250,Davey Peterken,davey.peterken@neuf.fr,(205) 237-8158,Direct Mail,New,2024-02-04T03:47:51+00:00,5011
46c1e4e2-ff0e-5ada-57d4-75fe3af17486,Jerrold Bernhart,jerrold.bernhart@hotmail.com,(813) 726-5308,Organic Search,Negotiation,2024-02-11T18:59:52+00:00,5063
92a10c87-4b83-2c21-5c6d-7d8533bda723,Percy Trebilcock,percy.trebilcock@aol.com,(716) 821-7103,Partner,Proposal Sent,2023-10-27T08:30:06+00:00,5008
984ae6dc-0231-c6a3-6e38-0c17483cfa51,Lock Yerlett,lock.yerlett@live.co.uk,(517) 730-9719,Direct Mail,Negotiation,2024-06-11T15:17:14+00:00,5001
d2b5f519-1d5a-c2f2-8ee0-7eb8abdc689c,Dave Piquard,dave.piquard@hotmail.com,(704) 537-9984,Direct Mail,Negotiation,2024-04-21T10:02:47+00:00,5028
0ce52389-2528-00e6-e357-7eb3156669c8,Zorah Lavis,zorah.lavis@yahoo.com,(702) 479-4141,Referral,Contacted,2024-05-14T04:53:54+00:00,5030
390eaa54-0a1c-c41b-ce04-056a65687b00,Martguerita Thredder,martguerita.thredder@yahoo.com,(904) 433-9064,Social Media,New,2024-06-04T09:07:37+00:00,5001
2d44c744-7626-4995-6087-657276ff54c1,Baryram Iskower,baryram.iskower@yahoo.com,(213) 388-4641,Webinar,New,2024-05-29T09:29:48+00:00,5063
acdb6218-5d32-ff27-503c-50fe55bce657,Karon Briton,karon.briton@mail.ru,(304) 533-1737,Telemarketing,Qualified,2024-01-25T07:51:20+00:00,5049
b5e508a3-e9f1-fe33-12ca-0a9a38df4d17,Artie Bedell,artie.bedell@hotmail.it,(706) 061-8488,Trade Show,New,2023-11-22T00:28:39+00:00,5055
a3828bb6-41f7-a7a6-0517-90b418a6b0d1,Matthus Lafoy,matthus.lafoy@facebook.com,(323) 590-6678,Social Media,Proposal Sent,2023-10-30T11:39:54+00:00,5061
f21758e5-6394-dcbe-91cf-c94025f82b1d,Lion Chaudret,lion.chaudret@hotmail.com,(313) 647-5647,Organic Search,Contacted,2024-10-19T02:34:19+00:00,5059
b75bf3e0-6868-0717-1be4-855d9996688f,Tiphany Benson,tiphany.benson@rambler.ru,(719) 826-3236,Email Campaign,Closed Won,2024-02-20T21:12:23+00:00,5025
a2c0a876-38e0-8e1a-74ca-bd8f8856504c,Bell Rasp,bell.rasp@gmail.com,(704) 322-8218,Inbound Marketing,Negotiation,2023-11-23T00:35:12+00:00,5008
8f191f71-95b8-4ecc-8e3a-5f2272f61ff1,Ag McPeeters,ag.mcpeeters@gmail.com,(216) 577-0553,Partner,Closed Lost,2024-04-18T14:50:21+00:00,5002
9ab36ab7-73a0-874e-0704-0e04ff26e328,Michel Tootell,michel.tootell@gmail.com,(206) 097-3982,Content Marketing,Contacted,2023-12-21T10:09:16+00:00,5098
cb22634f-3c56-d7e3-f7a6-b352f020f202,Barbra Dameisele,barbra.dameisele@gmail.com,(304) 451-1795,Telemarketing,Qualified,2024-08-03T04:55:23+00:00,5033
aadc1f6f-1d90-c8e4-9add-e6b8d38bb003,Helli Burberye,helli.burberye@gmail.com,(619) 804-6777,Telemarketing,Contacted,2024-05-12T22:41:31+00:00,5008
8f0347b3-7f1b-2505-9abf-d0e527622b5d,Justino Helks,justino.helks@hotmail.com,(919) 012-2454,Email Campaign,New,2024-07-02T07:23:25+00:00,5048
c966cf80-c12a-6ad1-24f9-689e082715b5,Marshall Moncreiffe,marshall.moncreiffe@aol.com,(312) 674-3440,Partner,Closed Lost,2024-10-08T02:37:10+00:00,5016
d6cec841-419f-1754-04e3-368d8b3b240d,Daniele Alibone,daniele.alibone@yahoo.com,(408) 978-5633,Trade Show,Qualified,2024-10-18T03:01:16+00:00,5077
f34b21c3-343a-54cc-6eb0-aedb00fc8bbb,Fedora Rayburn,fedora.rayburn@web.de,(915) 270-9006,Email Campaign,Contacted,2023-12-08T10:21:52+00:00,5055
8ad6bbaa-355f-7b66-bfb5-38b8d80b30c8,Sutherland Killiam,sutherland.killiam@shaw.ca,(903) 090-7936,SEO,New,2024-01-01T04:02:39+00:00,5068
5efe6eb0-4fdc-076e-4636-cbf614f5cb9a,Krispin Winnett,krispin.winnett@msn.com,(309) 546-8306,Social Media,New,2024-05-16T06:51:51+00:00,5095
278fbca9-6881-0b63-4fd0-017327970131,Stacie Dudeney,stacie.dudeney@yahoo.com,(860) 008-1320,Networking Event,Proposal Sent,2024-03-05T11:23:54+00:00,5098
86368a18-7010-e69a-6d3a-7c4dcf8695ec,Bary Clist,bary.clist@live.com,(559) 967-5725,Trade Show,Closed Lost,2023-12-13T17:06:35+00:00,5012
89361f1d-cd74-adb0-e1f7-0875fffbe2e6,Brandea Ajean,brandea.ajean@yahoo.com,(661) 503-9686,Email Campaign,Qualified,2024-08-30T06:59:07+00:00,5019
3a02e65b-cab1-ab12-bb44-45805649938d,Laurence Barham,laurence.barham@yahoo.fr,(713) 280-7924,Social Media,Contacted,2023-12-04T10:37:55+00:00,5056
756409a5-34a4-dcc6-ffb4-a16b88becda3,Hobey Gayne,hobey.gayne@orange.fr,(407) 654-6882,Webinar,New,2024-09-11T23:59:17+00:00,5036
522d54ae-0a3d-3bf0-a3cc-69399a12b5a8,Nobie McPeeters,nobie.mcpeeters@yahoo.it,(202) 927-5769,Organic Search,Proposal Sent,2024-03-09T07:17:12+00:00,5014
2b665aa7-d21b-7abb-9b4d-397523a74e3d,Monte Juszczak,monte.juszczak@web.de,(614) 603-2703,Networking Event,Closed Lost,2023-12-29T14:45:16+00:00,5084
e03e6ddb-77bb-6663-02b7-c4764ca044ae,Yule Mitskevich,yule.mitskevich@yahoo.com,(619) 779-0649,Cold Call,Closed Lost,2023-11-16T04:06:15+00:00,5011
f4e06737-97f7-46ec-dc9f-a6923efd1470,Berkly McGooch,berkly.mcgooch@gmail.com,(713) 592-9351,Referral,New,2023-11-10T14:17:32+00:00,5088
83037d92-d15f-bd73-9174-fce5a0510d90,Uriel Matelyunas,uriel.matelyunas@yahoo.com.br,(512) 774-8250,Webinar,New,2024-04-09T18:52:31+00:00,5037
d192a824-3b94-a847-7fa0-d17a54c7b9db,Marchelle Mantram,marchelle.mantram@gmail.com,(205) 497-7017,Paid Advertising,Negotiation,2024-09-07T18:24:18+00:00,5018
